SUPNO;SUPNAME;SUPADD1;SUPADD2;SUPADD3;SUPPADD1;SUPPADD2;SUPPADD3;SUPTEL;SUPFAX;EMAIL;SUPCONT;SUPOURACC;SUPTERMS;SUPDISC;SUPBALBFWD;SUPCRNT;SUP30;SUP60;SUP90;SUP120;SUP150;SUPPMT;SUPPMTDATE;SUPURCHMTD;SUPURCHYTD;BANK;BANKCODE;BANKACC;UPDSTKSP;ACCTYPE
128;GAS AND GENERAL TRUST;312 GREYLING STREET;PIETERMARITZBURG;3201;POSTNET SUITE 57;PRIVATE BAG X9118;PIETERMARITZBURG3200;033-3420501;;;;660;30;2.5;3195.97;0.0;0.0;0.0;0.0;0.0;3195.97;0.0;;0.0;901.0;;;;Y;
138;MCCARTHY TOYOTA;290 BOOM STREET;PIETERMARITZBURG;3201;P.O.BOX 688;DURBAN;4000;033-8978100;;;;210317721;30;2.5;52739.63;0.0;0.0;0.0;0.0;0.0;52739.63;0.0;;0.0;3744.45;;;;Y;
140;WORKWEAR DEPOT;CNR. VICTORIA & BOSHOFF;P.M.BURG;3201;;;;454001/453276;;;;;30;0.0;101513.64;0.0;0.0;0.0;0.0;0.0;101513.64;0.0;;0.0;899.1;;;;Y;
149;TYRE FORCE [WFV TRADING CC];52 OLD MAIN ROAD , PTN;031-7026119;KESHNEE / GOPAL;PMB;;;033-3860632 PMB;033-3860632 PMB;Marcel 0722639719;DINA : 0792442302;T001;30;5.0;64840.81;0.0;0.0;0.0;0.0;0.0;64840.81;0.0;;0.0;0.0;;;;Y;
158;SUPA QUICK PIETERMARITZBURG;168 GREYLING STREET;PIETERMARITZBURG;3201;P.O.BOX 11568;DORPSPRIUT;3206;033 - 3420681;033 - 3424687;;;856;30;0.0;3525953.76;0.0;19116.98;15268.51;21728.44;12140.12;3457699.71;0.0;;0.0;325349.01;;;;Y;
159;SUPA QUICK DURBAN NORTH;19 WATERKANT ROAD;DURBAN NORTH;4051;P.O.BOX 11568;DORPSPRUIT;3206;031-5634216;031-5634218;;;7;30;0.0;250203.88;0.0;0.0;0.0;0.0;0.0;250203.88;0.0;;0.0;1734.2;;;;Y;
160;HI-Q BIRD SANCTUARY;;;;;;;;;;;;30;0.0;4145602.03;0.0;40790.17;26529.65;9761.24;11986.73;4056534.24;2021.25;2025/10/27;0.0;227881.16;;;;Y;
162;PARTS INCORPORATED AFRICA;37 IMVUBUPARK PLACE;RIVERHORSE VALLEY;DURBAN     4001;P.O.BOX 1725;DURBAN;4000;031-5335300;086-6096230;NANCY.BAUMGART@MIDAS.CO.ZA;NANCY BAUMGART;;30;2.5;15603.3;0.0;0.0;0.0;0.0;0.0;15603.3;0.0;;0.0;0.0;;;;Y;
20;TYREMART (EX SPEEDY PMB);290 GREYLING ST;P.M.BURG;3201;;;;331 943 641;331 422 036;;BRIAN;;30;5.0;71535.51;0.0;0.0;0.0;0.0;0.0;71535.51;0.0;;0.0;0.0;;;;Y;
94;ZZZGOOD IMPRESSIONS;;;;;;;844477562;086-6693063;;;T82;30;2.5;6691.8;0.0;0.0;0.0;0.0;0.0;6691.8;0.0;;0.0;0.0;;;;Y;
99;TI AUTO BRANDS [YOKO/HANKOOK];;;;;DBN : 031-5791640 T;DBN : 031-5791641 F;011-8238100;086-6782636;;;KWI00014;30;0.0;1131603.05;0.0;0.0;0.0;0.0;0.0;1131603.05;0.0;;0.0;7946.5;;;;Y;
196;WILLARD BATTERIES;UNIT 4, CHELSEA IND.PARK;17 CHELSEA ROAD;NEW GERMANY       3620;P.O.BOX 15650;ASHWOOD;3605;031-7059107;086-6354920 A/C;;;;30;2.5;478274.02;0.0;6511.3;0.0;4309.05;4978.03;462475.64;0.0;;0.0;41684.01;;;;Y;
198;TYRE MAGIC RETREADERS;25 ROGER DE CLERCK PLACE;MKONDENI;PIETERMARITZBURG;P.O.BOX 100140;SCOTTSVILLE;3209;033-3861170;033-3460978;;WAYNE/JANI;;30;5.0;164513.73;0.0;0.0;0.0;0.0;0.0;164513.73;0.0;;0.0;0.0;;;;Y;
29;SUPA QUICK PINETOWN;109 OLD MAIN ROAD;PINETOWN;3610;;;;031-7013284;031-7013161;;;;30;0.0;524617.86;0.0;5946.51;4352.24;6860.61;0.0;507458.5;0.0;;0.0;71836.35;;;;Y;
68;SUPA QUICK HOWICK;36 MAIN STREET;HOWICK;3290;;;;033 - 3304994;033 - 3308731;;;;0;0.0;580844.89;1788.02;0.0;14643.09;2272.4;3248.41;560680.99;0.0;;1788.02;34783.91;;;;Y;
80;KZN RIM REPAIRS;;;;;;;;;;;;0;0.0;3778.75;0.0;0.0;0.0;0.0;0.0;3778.75;6213.0;2020/12/04;0.0;0.0;;;;Y;
91;GOVENDERS GARAGE;566 BERG STREET;PIETERMARITZBURG;3201;P.O.BOX 7829;CUMBERWOOD;3235;033-3420415;033-3940930;;DENO;SQ SO15;0;0.0;4869.15;0.0;0.0;0.0;0.0;0.0;4869.15;0.0;;0.0;0.0;;;;Y;
93;DIESEL ELECTRIC;216 GREYLING ST , PMB;T. 033-3451411;F. 033-3451411;P.O.BOX 3804;DURBAN;4000;031-5690900;031-5690901;;;9212;30;2.0;45663.51;0.0;5175.27;157.78;0.0;726.11;39604.35;0.0;;0.0;6198.83;;;;N;
120;HCV ALIGNMENT;;;;;;;;;;;;0;0.0;28064.14;0.0;0.0;0.0;0.0;506.0;27558.14;0.0;;0.0;2024.0;;;;Y;
124;SUPA QUICK MKONDENI;;;;;;;;;;;;0;0.0;12770680.19;0.0;36297.4;70390.63;2981.95;21968.69;12639041.52;0.0;;0.0;305582.01;;;;Y;
130;DRIVE LINES;12 MAY STREET;PIETERMARITZBURG;3201;;;;033-3455826;033-3455128;;ROB;;30;0.0;2038.62;0.0;0.0;0.0;0.0;0.0;2038.62;0.0;;0.0;0.0;;;;Y;
13;SPEEDY - PINETOWN;124 OLD MAIN ROAD;PINETOWN;3206;;;;031-7012547;031-7015915;;;;30;0.0;158459.34;0.0;0.0;0.0;0.0;0.0;158459.34;0.0;;0.0;0.0;;;;N;
141;ECONO TRUCK & SPARES;UMLAAS ROAD;;;;;;031-7851646;031-7851758;;;;0;0.0;3553.0;0.0;0.0;0.0;0.0;0.0;3553.0;0.0;;0.0;0.0;;;;Y;
145;GOLDWAGEN - PMB;357 BOOM STREET;PIETERMARITZBURG;3201;;;;3451537;3945537;;;28;0;0.0;39427.36;0.0;0.0;0.0;0.0;440.0;38987.36;0.0;;0.0;440.0;;;;Y;
146;DS DAVIE - RENTAL ACCOUNT;;RENTAL INCREASE IN;JANUARY;;;;;;;;;0;0.0;6683207.52;0.0;62582.49;62582.49;62582.49;62582.49;6432877.56;9051.29;2015/11/25;0.0;688407.39;;;;Y;
71;THE TYRE MENDER;37 MEDINA ROAD;NORTHDALE;PIETERMARITZBURG    3201;;;;033-3915325;826988095;;SELVIE;;0;0.0;66518.8;0.0;0.0;0.0;0.0;0.0;66518.8;0.0;;0.0;0.0;;;;Y;
78;NEDBANK LIMITED;;;;;;;;;;;;0;0.0;645264.07;148.06;13680.09;218.57;264.35;5967.5;625133.56;0.0;;148.06;54535.9;;;;Y;
82;CCN - HOLLARD - BUSINESS;1 HILLTOP ROAD;HILLCREST;3610;P.O.BOX 1477;HILLCREST;3650;031-7655882;031-7651990;0826295684/0726360066/0828526322;ELILEEN/CLIVE/MICHE;4216486/CCNC560;0;0.0;630711.98;0.0;4388.29;4086.74;4086.74;4086.74;614063.47;0.0;;0.0;45255.69;;;;Y;
22;AUTOMOTIVE EQUIPMENT INTERNATI;;;;P.O.BOX 11522;MARINE PARADE;4056;031-5693600/58;031-5693598;;;;30;2.5;52477.52;0.0;0.0;0.0;0.0;0.0;52477.52;0.0;;0.0;4182.32;;;;Y;
23;MDS SERVICES;36 C CIRCUIT ROAD;WESTMEAD;3608;P.O.BOX 1814;WESTVILLE;3630;031-7008501;031-7008502;;VANESSA DA SILVA;;0;0.0;1135143.4;0.0;0.0;0.0;0.0;0.0;1135143.4;0.0;;0.0;39838.08;;;;Y;
35;T P SUNRISE / KLEENLINE;;;;;;;3428823/3462062;3428823;;;;0;0.0;85938.62;0.0;180.0;565.0;315.0;275.0;84603.62;0.0;;0.0;4049.0;;;;Y;
48;HALL'S RETAIL;170 VICTORIA ROAD;PIETERMARITZBURG;3201;P.O.BOX 11392;DORPSPRUIT;3206;033-3943976;033-3946075;;;;30;2.5;76167.56;201.25;0.0;201.25;0.0;201.25;75765.06;0.0;;201.25;1305.27;;;;N;
106;PATCH AND VALVE KZN;;;;P.O.BOX 15624;WESTVILLE;3608;;031-7010612;;QUINTON-DOUG;10084;0;0.0;330070.38;0.0;0.0;0.0;0.0;3105.0;326965.38;0.0;;0.0;8958.27;;;;Y;
107;TOTAL FLEET SOLUTIONS;;;;;;;;;;;;0;0.0;889.2;0.0;0.0;0.0;0.0;0.0;889.2;0.0;;0.0;0.0;;;;Y;
109;LOMBARD TYRES TRADING CC;SHOP 119;SANLAM CNTR;17 KINGS ROAD NPN;;;;031-7022821/52;;;;1032;30;0.0;374712.2;0.0;0.0;0.0;0.0;0.0;374712.2;0.0;;0.0;0.0;;;;Y;
114;EVO AUTOMOTIVE [011-47536363];10 SUURBESSIE STREET;WELTEVREDEN PARK;1709;P.O.BOX 9381;WELTEVREDEN PARK;1715;011-4753636;CELL:0836013132;ian@evoautomotive.co.za;IAN;HQ0007;0;0.0;450.3;0.0;0.0;0.0;0.0;0.0;450.3;0.0;;0.0;0.0;;;;Y;
125;TYRECOR DURBAN;PO BOX 15042;WESTMEAD;3608;;;;031-7051888;031-7052116;;DAVE -0825655201;;0;0.0;480909.92;0.0;0.0;0.0;0.0;0.0;480909.92;0.0;;0.0;0.0;;;;Y;
70;HI-Q EAST COAST TYRES PINETOWN;165 OLD MAIN ROAD;PINETOWN;3610;;;;;;;;;0;0.0;143369.37;0.0;0.0;0.0;0.0;0.0;143369.37;0.0;;0.0;4638.16;;;;Y;
16;STAMFORD TYRES (AFRICA);BOBBY : 0837800414;DBN TEL : 031-7003092;DBN FAX : 031-7003179;P.O.BOX 27063;HOUT BAY;7892;021-7901302;086-5544857;;ALISON/GENEVIEVE;;0;0.0;983084.61;0.0;0.0;0.0;0.0;0.0;983084.61;0.0;;0.0;1442.1;;;;Y;
34;TUBESTONE [PTY] LTD;14 MAHOGANY FIELD WAY;SPRINGFIELD PARK;DURBAN;CELL:0824114419;CELL:0824941630;;031-5640060;031-5791281;DURBAN@TUBESTONE.CO.ZA;;T220;30;0.0;261123.47;0.0;0.0;0.0;0.0;0.0;261123.47;0.0;;0.0;0.0;;;;Y;
66;BEE LISTING;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;Y;
88;STANDARD BANK;MERCH COMM;;;;;;;;;;;0;0.0;38559.51;238.63;100.63;202.98;537.63;236.9;37481.37;0.0;;238.63;5210.7;;;;Y;
95;ABSA BANK;MERCH COMM;;;;;;;;;;;0;0.0;12434.75;0.0;0.0;0.0;0.0;0.0;12434.75;0.0;;0.0;1148.58;;;;Y;
97;AMERICAN EXPRESS;MERCH COMM;;;;;;;;;;;0;0.0;161681.64;0.0;188.03;0.0;0.0;323.61;161170.0;0.0;;0.0;2530.95;;;;Y;
110;DINERS;MERCH COMM;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;Y;
111;FIRST AUTO;MERCH COMM;;;;;;;;;;;0;0.0;29972.21;0.0;276.0;0.0;0.0;0.0;29696.21;0.0;;0.0;1799.77;;;;Y;
81;CFP TYRES / TRIANGLE TYRES;;;;;;;0861-2373000;;;;;0;0.0;31214.08;0.0;0.0;0.0;0.0;0.0;31214.08;0.0;;0.0;0.0;;;;Y;
116;FIRST NATIONAL BATTERY;61 LONGMARKET STREET;PIETERMARITZBURG;3201;P.O.BOX 1752;PIETERMARITZBURG;3200;033-3422406/7;033-3428796;;KEVIN;568780;30;2.5;18259.88;0.0;0.0;0.0;0.0;3850.0;14409.88;0.0;;0.0;9132.31;;;;Y;
123;MEDIA 24;;;;;;;;;;;;0;0.0;44612.03;0.0;0.0;0.0;0.0;0.0;44612.03;0.0;;0.0;0.0;;;;Y;
52;AIRFLEX INDUSTRIAL GASES;SHOP 3 , 365 BERG STREET;PIETERMARITZBURG;3201;P.O.BOX 319;LUXMI;3207;033-3453101;033-3948179;;ROY;TYR001;0;0.0;847.07;0.0;0.0;0.0;0.0;0.0;847.07;0.0;;0.0;0.0;;;;Y;
54;M S WHOLESALE CAR PARTS;548 PIETERMARITZ STREET;PIETERMARITZBURG;3201;;;;033-3425287;033-3425293;;MOHAMMED;;0;0.0;1365.0;0.0;0.0;0.0;0.0;0.0;1365.0;0.0;;0.0;0.0;;;;Y;
69;SAI - SEACOM KZN (PTY) LTD;;;;;;;0861-221100;031-5710242;;;;0;0.0;60604.59;0.0;0.0;0.0;0.0;0.0;60604.59;0.0;;0.0;0.0;;;;Y;
38;HI-Q TYRE N TUBE PMB;171 GREYLING STREET;PIETERMARITZBURG;3201;;;;;;;;;0;0.0;26436444.28;33145.39;140214.54;202253.37;136034.72;136255.38;25821686.27;1150.55;2026/02/04;34295.94;1680168.55;;;;Y;
201;VIP [PAYROLL DIVISION];;;;;;;;;;;;0;0.0;6780.49;0.0;0.0;0.0;0.0;0.0;6780.49;3109.92;2013/02/27;0.0;0.0;;;;Y;
85;NEXOR TYRES;NEXOR 875 [PTY] LTD;;;;;;031-7001145;031-7001319;;;;0;0.0;459922.03;0.0;0.0;0.0;0.0;0.0;459922.03;0.0;;0.0;12316.83;;;;Y;
61;MAXXIS SOUTH AFRICS;CORPORATE PARK SOUTH;82 LECHWE STREET;MIDRAND;;;;011-3142428;011-3142458;;ANJA VAN STADEN;;30;0.0;46272.0;0.0;0.0;0.0;0.0;0.0;46272.0;0.0;;0.0;0.0;;;;;
888;REVOLUTION TYRES;;;;;;;;;;;;0;0.0;9120.0;0.0;0.0;0.0;0.0;0.0;9120.0;0.0;;0.0;0.0;;;;Y;
40;BLUE STAR TYRES;;;;;;;;;;;;30;0.0;16615.33;0.0;0.0;0.0;0.0;0.0;16615.33;0.0;;0.0;0.0;;;;N;
73;TREADZONE [PTY] LTD;;;;;;;021-9051111;;;;KZN0030;0;0.0;121343.74;0.0;0.0;0.0;0.0;0.0;121343.74;0.0;;0.0;0.0;;;;Y;
4;SUPA QUICK GATEWAY;;;;;;;;;;;;0;0.0;266390.02;0.0;4231.01;0.0;1036.27;0.0;261122.74;0.0;;0.0;45816.31;;;;Y;
901;COOPER TYRES;;;;;;;317647860;031-7647854;AMBER@COOPERTYRES.CO.ZA;;;0;0.0;101795.3;0.0;0.0;0.0;0.0;0.0;101795.3;0.0;;0.0;0.0;;;;Y;
5;BEST DRIVE SA-CONTITRADE;P.O.BOX 699;PORT ELIZABETH;6000;;;;;;;;ZZZ7272726;0;0.0;1628650.02;0.0;13800.0;13800.0;13800.0;13800.0;1573450.02;0.0;;0.0;151800.0;;;;Y;
43;SA FIRE SERVICES;;;;;;;849035449;;;;;0;0.0;440.0;0.0;0.0;0.0;0.0;0.0;440.0;39029.53;2023/04/11;0.0;0.0;;;;Y;
15;TIREPOINT KZN (PTY) LTD;;;;;;;;;;;;0;0.0;385339.77;0.0;0.0;0.0;0.0;0.0;385339.77;42622.78;2020/08/31;0.0;0.0;;;;Y;
6;X LINK COMMUNICATIONS [PTY]LTD;;;;;;;;;;;TYR26;0;0.0;15058.41;0.0;0.0;0.0;0.0;0.0;15058.41;0.0;;0.0;0.0;;;;Y;
59;A KAYE & CO.;;;;;;;;;;;;0;0.0;5330.0;0.0;0.0;0.0;0.0;0.0;5330.0;0.0;;0.0;700.0;;;;Y;
47;DURUN TYRES;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;Y;
19;AUTO & TRUCK TYRES;;;;;;PIETER:0745818534;011-4376300;;;;;0;0.0;3541706.89;10205.1;0.0;27547.1;7609.92;13905.5;3492644.37;0.0;;10205.1;203284.91;;;;Y;
102;VALIDTRADE SA;;;;;;;;;;;;0;0.0;126047.07;0.0;0.0;0.0;0.0;0.0;126047.07;0.0;;0.0;0.0;;;;Y;
112;TYRE SOLUTIONS SA;;;;;;;;;;;;0;0.0;6470.83;0.0;0.0;0.0;0.0;0.0;6470.83;;;0.0;0.0;;;;Y;
72;REMA TIP TOP AUTOMOTIVE;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
11;EXHAUST SHOPPE;;;;;;;;;;;;0;0.0;18867.03;0.0;0.0;0.0;0.0;0.0;18867.03;;;0.0;808.87;;;;Y;
115;INFINITY AUTOMOTIVE;;;;;;;;;;;;0;0.0;334705.87;0.0;810.0;9614.99;1800.0;80.0;322400.88;;;0.0;46095.01;;;;Y;
990;OBSOLETE;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
122;SAPPHIRE CORPORATE SOLUTIONS;;;;;;;021-5320440;021-5320446;;;CL0082;0;0.0;11185.6;0.0;0.0;0.0;0.0;0.0;11185.6;;;0.0;0.0;;;;Y;
142;MR EXHAUST MR TYRE;;;;;;;;;;;;0;0.0;35603.53;0.0;0.0;0.0;0.0;300.0;35303.53;;;0.0;734.0;;;;Y;
