DNO;DNAME;DSNAME;DADD1;DADD2;DADD3;DPCODE;DTEL;TEL2;DFAX;EMAIL;DELAD1;DELAD2;DELAD3;DELAD4;DCONTACT;DTAXNO;DAREA;DBALBFWD;DCRNT;D30;D60;D90;D120;D150;D180;DSALESM;DSALESY;DPROFITM;DPROFITY;DAMTLPD;DDATLPD;DDISCPER;DCLIMIT;DINTFLAG;PRICE;ACCTYPE;TERMS;PDISC;DISCPRN;DPOSBAL;BLOCKFLAG;DATEOPENED;VATREF;NOTES
321;NMI DURBAN SOUTH MOTORS [PTY]LTD;GARDE;T/A GARDEN CITY MOTORS;P O BOX 1600;PIETERMARITZBURG;3200;3975300;;3970528;sadhna.utampersad@nmidsm.co.za;;;;ONLY ORDERS 14.........;TREVOR;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;30000.0;N;1;;30;0.0;N;N;4;;4430203143;
591;NEIL WOOLRIDGE MOTORS;NEIL;2 COMMERCIAL ROAD;2 COMMERCIAL ROAD;PIETERMARITZBURG;3201;3453519;;3453524;office@nwm.co.za;;;;;RONEL;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;15000.0;N;1;;30;2.5;N;N;3;;4700186002;
203;DATCENTRE PIETERMARITZBURG;DATCE;P.O.BOX 529;PIETERMARITZBURG;3200;3200;033-8977400;031-7005410;8977444;cc701@cmh.co.za;;;;;CATHERINE;;1;14814.91;1285.0;6980.0;7834.9;0.0;0.0;0.01;0.0;1117.39;60486.07;477.39;21348.62;5280.01;2026/01/09;0.0;90000.0;N;1;;30;2.5;N;N;Y;;4440111914;
365;HAYFIELDS SERVICE CENTRE;HAYFI;P O BOX 1122;PIETERMARITZBURG;3201;;3962339;;;camryclerk@iafrica.com;;;;;DEBI;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;2.5;N;N;2;;4580104810;
373;MR EXHAUST MR TYRE [PIETERMARITZBURG];MREX;WILD BREAK 1107 CC   T/A;85 COMMERCIAL ROAD;PIETERMARITZBURG;3201;033-3425923;033-3425916;033-3425909;lford@axxess.co.za;;;;;SINGH;;1;2593.0;1660.0;2593.0;0.0;0.0;0.0;0.0;0.0;1443.48;30915.64;241.24;5036.2;3461.25;2025/11/01;0.0;350000.0;N;1;;30;2.5;N;N;3;;4910201120;
408;IRRITECH AGENCIES INTERNATIONAL CC;IRRIT;BOX 11398;DORPSPRUIT;3206;;3423177;;3940539;accounts@irritechsa.co.za;;;;;DEE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9000.0;0.0;3179.84;10350.0;2026/02/02;0.0;10000.0;N;1;;30;0.0;N;N;Y;;4360244398;
822;TEGS TIMBERS;TEG;PO BOX 100113;SCOTTSVILLE;3209;;8461300;;031-7021846;;;;;VAT REG:4780103380;60 DAY ROSHILLA;MARGE 031-7021300;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;20000.0;N;1;;30;2.5;N;N;3;;4780103380;
896;WINDOW & DOOR SPECIALIST CC;WINDO;P.O.BOX 11171;DORPSPRUIT;DORPSPRUIT;3206;033 - 3946541;033 - 3946542;033 - 3947990;windorpmb@gmail.com;26 WINSTON ROAD;PIETERMARITZBURG;;;IAN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.26;0.0;404.9;146.24;2025/12/31;0.0;5000.0;N;1;;30;0.0;N;N;Y;;4700165105;
22;TOP CROP NURSERY;TOP;P O BOX 32;CRAMOND;3220;;033-5691333;;033-5691336;miche@superlawn.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.01;2023/04/03;0.0;10000.0;N;1;;30;2.5;N;N;3;;4450101318;
374;HILTON ROAD GARAGE;HIL;POST NET;SUITE H11;PRIVATE BAG X9118;3200;3433275;0836322845-PETE;3433189;;;;;;ROSIE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;;4040177844;
795;SUPA QUICK PIETERMARITZBURG;SUPAP;FOURWAYS FITMENT CC;168 GREYLING STREET;PIETERMARITZBURG;3201;033-3420681;033-3427732;033-3424687;supaquickpmb@sai.co.za;;;;;;(1)JUNE'95 (2)AUG'97;1;8831.21;13019.64;8831.21;0.0;0.0;0.0;0.0;0.0;11321.43;43637.16;435.45;5175.79;4066.65;2026/01/20;0.0;0.0;N;1;;0;0.0;N;N;1;;4870151562;
200;MCCARTHY TOYOTA TRUCKS;MCC;P O BOX 47395;GREYVILLE;4023;;031-3087300;;031-7001807;veronicas@mcmotor.co.za;;;;CB DOWNES ROAD;PHUMLANI;PMB 3869241;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4200.02;2022/07/05;0.0;20000.0;N;1;;30;0.0;N;N;3;;;
513;METRO CAR SALES;METRO;P.O.BOX 8280;CUMBERWOOD;3235;3235;033-3942595;;;info@metrocars.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;608.7;0.0;334.86;550.0;2025/12/29;0.0;10000.0;N;1;;30;2.5;N;N;Y;;4330106552;
186;CORDWALLES SCHOOL;CORDW;PRIVATE BAG 9063;PIETERMARITZBURG;3200;;3948133;;;;;;;;3423077;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;2023/12/05;0.0;10000.0;N;1;;30;0.0;N;N;1;;;
797;SUPA QUICK DURBAN NORTH;SUPAD;THREEWAYS FITMENT CC  T/A;19 WATERKANT ROAD;DURBAN NORTH;4053;031-5634216;031-5634217;031-5634218;supaquickdurbannorth@sai.co.za;;;;;01/10/1994 -->;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2392.0;2024/12/02;0.0;0.0;N;1;;0;0.0;N;N;1;;4010147496;
3;NMI DSM [PTY]LTD T/A BARLOWORLD FORD PMB;BARL;CHATTERTON ROAD;PIETERMARITZBURG;3201;;033-3924444;;;mike.kunene@bwmr.co.za;;;;;ANELE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1250.0;2022/04/30;0.0;15000.0;N;1;;30;0.0;N;N;3;2016/05/19;4370296081;
4;BARLOWORLD MAZDA;BARLO;PO BOX 212;PIETERMARITZBURG;3201;;033-3924444;;;hamilton.ndlovu@bwmr.co.za;;;;;HAMILTON;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3740.0;2017/10/13;0.0;15000.0;N;1;;30;0.0;N;N;2;2016/05/19;4710267461;
8;FLEET: CONTITRADE AFRICA [7272726];CONTI;PO BOX 1352;HONEYDEW;2040;;011-7941515;;;fleet.admin@conti.co.za;;;;;RENNIE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18322.92;0.0;8548.54;448.5;2025/11/03;0.0;100000.0;N;1;;30;0.0;N;N;3;2016/09/23;4910263237;
35;GLASFIT CENTRE PIETERMARITZBURG;GLAS;1 WEST STREET;PIETERMARITZBURG;;3201;333 455 258;;;accounts@glasfitpmb.co.za;;;;;;;1;2350.0;0.0;2350.0;0.0;0.0;0.0;0.0;0.0;0.0;9547.83;0.0;3535.51;3730.0;2025/12/17;0.0;10000.0;N;1;;30;0.0;N;N;4;2025/08/07;4590196723;
97;BOLT & NUT CENTRE;BOLT;GONUT CC           T/A;51 VICTORIA ROAD;PIETERMARITZBURG;3201;3425393;;;;;;;;DAPHNE (ACC);;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;2;;4840208898;
135;CARTER HIGH SCHOOL;CARTE;PRIVATE BAG X3;CASCADES;3202;;451922;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;1;;0;0.0;;;N;;;
196;AUTOMOTIVE COMPONENTS CENTRE CC;AUTO;132 GREYLING STREET;PIETERMARITZBURG;3201;;033-3427221;;;admin@sapartszone.co.za;;;;;ANESH;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;2;;4400184505;
327;MRS J E GELDART;GELD;AMBERFIELD;PRIVATE BAG X010;HOWICK;3290;033-9970990;829289890;;;;;;;MRS GELDART;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;2000.0;N;1;;30;0.0;N;N;3;;4210215622;
345;S. GOUWELOOS;GOU;P O BOX 20144;ASHBURTON;3200;;836595311;;;sjorsfee@gmail.com;;;;;FIONA GOUWELOOS;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4910.02;2024/03/01;0.0;10000.0;N;1;;30;2.5;N;N;3;;;
356;H B FARM SERVICES;H B F;P O BOX 11736;DORPSPRUIT;3206;;3450111;;829 260 131;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1000.0;N;1;;30;2.5;N;N;2;;4750104806;
407;IRRIGATION AND DRAINAGE;IRRIG;P.O BOX 22045;MAYORSWALK;3208;;3454423;;3422080;irrigation@telkomsa.net;;;;93 VICTORIA ROAD;KIRSTEN;DARREL 0721252731;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;1;;4220179420;
460;LINPARK HIGH SCHOOL;LINP;P O BOX 21477;MAYORS WALK;3208;3208;441544;;442219;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;0;0.0;N;N;N;;;
612;MR R.A. OLDFIELD;OLD;P.O BOX 176;UMLAAS ROAD;3730;;033-2516108;;;robin@oldfield.co.za;;;;;ROBIN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20728.7;0.0;4320.4;11738.0;2025/11/04;0.0;15000.0;N;1;;30;0.0;N;N;3;;4750258628;
722;SAINT CHARLES COLLEGE;SAINT;PRIVATE BAG X7;SCOTTSVILLE;P M BURG;3201;68235/6;;;suppliers@scc.za.com;;;;;ALEDA STEYN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;30;2.5;N;N;3;;;
738;SCOTTY'S PLANT HIRE [PTY]LTD;SCOTT;P O BOX 3219;PIETERMARITZBURG;;3200;033-3861853/14;;033-3867003;joe.sph@mweb.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;;4080261219;
90596;NEWTON HIGH SCHOOL;NEW;PO BOX 4122;WILLOWTON;3200;;3420011;;;info@newtonschool.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;147.83;0.0;127.83;170.0;2025/06/12;0.0;0.0;N;1;;30;2.5;N;N;3;;;
54;AUTO SERVICES;AUTO;P.O.BOX 1615;PIETERMARITZBURG;3200;;3429922;;3429925;admin@subarupmb.co.za;EDMOND PLACE;CAMPSDRIFT;PIETERMARITZBURG;;HOWARD CHRISTIE;OPENED RE COOP 1205;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6009.53;2023/10/23;0.0;25000.0;N;1;;30;2.5;N;N;3;;4150108399;
74;BATTERY CENTRE;BATT;P.O.BOX 1752;PIETERMARITZBURG;3200;3200;422406;;;;61 LONGMARKET STR;PMB;3201;VAT REG:4700108386;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;0;0.0;N;N;N;;4700108386;
634;PETER BAXTER PANEL BEATERS;PETER;P.O.BOX 8275;CUMBERWOOD;3235;3235;3453814;;;;;;;401 GREYLING STREET;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2266.01;2018/12/07;0.0;15000.0;N;1;;30;0.0;N;N;3;;4050104035;
679;RAMSAY ENGINEERING;RAMSA;P.O.BOX 991;PIETERMARITZBURG;3200;3200;033-3871575;;;creditors@ramsay.co.za;;;;;;;1;-10.61;139.38;0.0;0.0;0.0;0.0;0.0;0.0;130.43;32426.14;110.43;10230.26;7690.03;2026/02/02;0.0;30000.0;N;1;;30;0.0;N;N;3;;4020102689;
1002;PMB AUTO SALES BOSHOFF STREET;PMB;104 BOSHOFF STREET;PM BURG;3201;;946098;;;melinda@pmbautosales.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2200.03;2015/12/09;0.0;0.0;N;1;;0;0.0;Y;Y;N;;;
110;OVLAND TRUST T/A OVLAND CONSTRUCTION;OVLAN;P O BOX 11042;DORPSPRUIT;3206;;033-3949567;;033-3945119;duncan@ovlandconstruction.co.za;;;;NETT ACCOUNT;DUNCAN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;20000.0;N;1;;30;0.0;N;N;3;;4360183935;
515;MICHAELHOUSE;MIC;PO BALGOWAN;BALGOWAN;3275;;033/2341000;;;;;;;;SHEENA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;;;
573;NATAL IRON & BRASS FOUNDRY;NATAL;PO BOX 221;LAXMI;3207;;3866573;;3867001;thashi@mweb.co.za;;;;;ASHWIN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;2;;4310105855;
816;STANDARD BANK FLEET MANAGEMENT;STAN;AUTH:0860222668;FAX:0865215348;;;011-636 2122;;866155296;;;;AUTH:0860222668;MERCH:12466514;WILLIAM;BILLY 011-6362588;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5274.35;58632.11;2362.35;24355.54;5716.73;2026/02/06;0.0;200000.0;N;1;;30;0.0;N;N;3;;4100105461;
921;SUPA QUICK HOWICK;SUPAH;TYRE N TUBE HOWICK CC;36 MAIN ROAD;HOWICK;3290;033-3304994;033-3307750;033-3308731;supaquickhowick@sai.co.za;;;;;;OCT/NOV'95;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5249.33;0.0;285.86;4262.57;2025/07/18;0.0;0.0;N;1;;0;0.0;N;N;1;;4640233849;
922;PMB MOTORS;PMB;P.O.BOX 11558;DORPSPRUIT;3206;;033-3946091;;;;;;;;MIKE;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1000.0;Y;1;;30;2.5;Y;N;N;;;
923;C M GARLICK;GARLI;BRAMLEIGH FARM;P O BOX 114;NOTTINGHAM ROAD;3280;033-2666065;828048315;0333/36907 (H);;NO SETTLEMENT;;;OFF-033-2666065;C M GARLICK;OPENED 16/04/97;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;;;
947;NEDBANK LTD;NED;P.O BOX 18543;DALBRIDGE;4014;4014;800335311;031-3720150/151;031-3720186;;;;;MERCHANT NO:90414284;ANAND / SELVIN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4560.03;2019/02/08;0.0;30000.0;N;1;;30;3.0;N;N;3;;4320116074;
1010;ROSEWOOD FARM CC;ROS;P.O BOX 104;ESTON;;3740;031-7811660;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;;4320132469;
1022;PELHAM SENIOR PRIMARY SCHOOL;PEL;MELVILLE ROAD;PELHAM;P.M.BURG;3201;3861221;;3862420;;;;;;MR BOTHA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1000.0;Y;1;;0;0.0;N;N;N;;;
1045;RAPID AGRICULTURAL BROKERS;RAPID;PO BOX 11353;DORPSPRUIT;3206;;3457284;;;nini.rapid@gmail.com;;;;41 VICTORIA ROAD;ROSHILLA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3290.0;2018/10/02;0.0;20000.0;N;1;;30;0.0;N;N;4;;;
1058;MSUNDUZI HOSPICE ASSOCIATION;HOSPI;P.O.BOX 22023;MAYORS WALK;3208;3208;033-3441560;;033-3442892;;;;;;TREVOR (MAINTENANCE);;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;1;;;
1148;MAPSTONE BROTHERS;MAPS;PO BOX 27;BAYNESFIELD;3770;;332 510 480;;332 510 480;;BRASFORT PARK;BAYNESFIELD;;;MRS S MAPSTONE;SINCE 24/03/99;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;2.5;N;N;3;;;
1167;WALTON CARPETS  MKONDENI;WALT;PO BOX 101306;SCOTTSVILLE;3209;;3868222;;3864566;waltoncarpets@sai.co.za;ROGER DE CLERK PLACE;;;;TARRYN;;1;0.0;250.01;0.0;0.0;0.0;0.0;0.0;0.0;217.4;2495.67;112.92;1220.39;2270.01;2026/01/02;0.0;5000.0;N;1;;0;0.0;N;N;3;;4690104056;
1263;CONTINENTAL TYRES SA;CONTI;P O BOX 2795;WESTWAY OFFICE PARK;WESTVILLE;3635;031-2655991;800325288;031-2655993;keshnee.narayanan@conti.co.za;;;;;KESHNEE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;50000.0;N;1;;30;0.0;N;N;3;;4150175778;
1309;P.A.D.C.A.;PADCA;P O BOX 397;PIETERMARITZBURG;;3200;454303/454711;;;accounting@padca.co.za;282 LONGMARKET STREET;PIETERMARITZBURG;;3201;TANIE;19/08/96 OPENED;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;3;;4560114870;
1322;CENPROP [PTY] LTD;CEN;P.O BOX 11051;DORPSPRUIT;3206;;3452770;;3458054;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;15000.0;N;1;;30;0.0;N;N;4;;;
1326;MACCULLYS WORKSHOP;MAC;PO BOX 13166;CASCADES;3202;;3940585;;HOME 3420421;;;;;47 RETIEF STREET;SAM;OPENED 17/10/96;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;304.35;0.0;176.43;350.0;2025/09/18;0.0;4000.0;N;1;;0;0.0;N;N;3;;;
1349;CAPITOL CATERERS;CAPIT;PO BOX 3572;PIETERMARITZBURG;3200;;3940310;;3943580;ashla@capitolcaterers.co.za;;;;121 LOOP STREET;PENNY;OPENED 22/01/97;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;15000.0;N;1;;30;2.5;N;N;3;;4350232155;
1354;ST ANNE'S DIOCESAN COLLEAGE [C.O.D];ST;PRIVATE BAG 6002;HILTON;;3245;333 436 100;;3436199;;;;;;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;30;0.0;N;N;N;;;
9;MTSA [PTY]LTD;MTSA;P.O.BOX 100968;SCOTTSVILLE;3209;3209;033-3979560;;033-3979520;kerashia.pillay@mineralstech.com;;;;;;;1;3434.44;0.0;28.62;28.38;28.15;27.91;3350.0;0.0;0.0;2913.04;0.0;1023.89;350.0;2023/09/01;0.0;10000.0;N;1;;30;2.5;N;N;2;;4870134865;
40;SMG CLAREMONT [PTY]LTD T/A;LAND;JAGUAR LANDROVER;P O BOX 3058;PMBURG;3200;033-8978700;033-8978860;033-3944441;precious.nene@smg.co.za;;;;;RENETTE;;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.0;2023/11/20;0.0;40000.0;N;1;;30;0.0;N;N;3;;4770265934;
222;ALPHA HYDRAULICS & PNEUMATICS [PTY]LTD;ALPH;P O BOX 669;LUXMI;3207;;033-3872164;;033-3873975;alphahydraulics@telkomsa.net;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;731.25;2018/12/28;0.0;4000.0;N;1;;30;0.0;N;N;3;;4130272208;
